user	age	country	long	lat	gender	usertype
jsmishalanie	-1				n	rare
VrednyValerious	-1				n	average
Deadborn-kun	19	RU	103.753982544	63.1251869202	m	rare
tamatsushi	21	PL	19.3777599335	52.1478500366	n	rare
Berryo	-1				n	rare
Pierrotclown2	23	RU	103.753982544	63.1251869202	m	power
littlecsr	-1				n	rare
derKonsument	22	DE	10.3822031021	51.2024650574	m	average
DeliDelDeli	-1				n	rare
silkyjf	-1				n	rare
dhisgett	-1				n	rare
jamieearlpdx	-1				n	rare
Zaph28	20	US	-98.9573364258	39.4432563782	f	average
alexanderich	-1				n	rare
sepulturian	-1				n	average
loungecat69	-1				n	average
queenbee80	-1				f	rare
Matonor	24	DE	10.3822031021	51.2024650574	m	many
jackcaughran	-1				n	rare
Irishka83	-1				n	rare
iceseaboy	-1				n	rare
jadasneez	-1				n	rare
mbace1	-1				n	rare
livetowin95	22	US	-98.9573364258	39.4432563782	n	average
Silvergm	30	FR	2.33826231956	46.6372795105	m	power
Strongly920	-1	HK	114.186965942	22.3361568451	n	average
Vajragio	-1	US	-98.9573364258	39.4432563782	m	rare
batpawn	21	AT	14.1402111053	47.5884399414	m	average
Chairman-Lmao	22	UK	-2.21251177788	54.5608863831	m	average
sysek	21	PL	19.3777599335	52.1478500366	m	rare
kkbush	-1				n	rare
Safuras	20	DE	10.3822031021	51.2024650574	m	average
dedevillela	-1	BR	-52.9731178284	-10.8104515076	n	rare
JAC4129000	-1				n	rare
intan08	-1				n	rare
cowboynhoc	-1				n	rare
Binary10102	-1				n	rare
Pasche88	-1				n	rare
belazp	19	UA	31.4757823944	48.9265632629	m	rare
raymon2683	28	GH	-1.20438623428	7.92133045197	n	average
oliver550	-1				n	rare
mcdon39	-1				n	rare
Anarchris	29	CA	-95.9133224487	62.8329086304	m	average
chriskve	-1	ID	115.418998718	-1.24808907509	m	average
madcatzzzzz	-1				n	rare
heather_r	-1				f	rare
epic2012	27	UK	-2.21251177788	54.5608863831	m	average
IceWind11	19	RU	103.753982544	63.1251869202	m	average
Thothgirl	-1	US	-98.9573364258	39.4432563782	f	rare
Chiccochan	-1				n	rare
carsalves	22	US	-98.9573364258	39.4432563782	m	average
jollymuse	27	RU	103.753982544	63.1251869202	f	average
RogerLutz	-1				n	average
Victorbahna	-1				n	rare
philipwolkind	-1				n	rare
decisionincisi	-1				n	rare
jpmilon	-1				n	rare
mahermark123	-1				n	rare
le-horla	-1	UK	-2.21251177788	54.5608863831	m	rare
takataka5845	40	JP	139.077270508	36.2816467285	m	rare
grzyb555	-1	PL	19.3777599335	52.1478500366	m	rare
Azrael_Silver	-1				n	rare
ivan_novi	-1				n	rare
jsbr568	-1				n	rare
palmstrike	-1				n	rare
AmenquiveR	-1	TR	34.9303398132	39.0510101318	n	average
MVTAndrews	-1				n	rare
chudic85	27	UA	31.4757823944	48.9265632629	m	rare
Schdefany	25	CH	8.22285461426	46.8037986755	f	average
Pabliux12	22	CR	-84.2272338867	9.88499164581	m	many
tanteria	-1				n	rare
Fiona_Watergate	23	US	-98.9573364258	39.4432563782	f	rare
PlaintiveSky	18	RS	20.797958374	44.2329711914	m	power
Korpiiklaanii	-1				n	rare
your16bithero	-1				n	rare
andy4862	29	UK	-2.21251177788	54.5608863831	m	average
Marijn54321	-1				n	average
Lati3	26	FI	25.989402771	64.2885818481	m	average
pattiemar	-1				n	rare
Stu_313	20	UK	-2.21251177788	54.5608863831	n	average
Toppisgurun	22	SE	16.7980594635	62.6749725342	m	average
ChotonWalker	-1				n	rare
Landievlooi	-1				n	rare
dancingdegas	-1	US	-98.9573364258	39.4432563782	f	rare
AndreasPr	-1				n	rare
FuckerTrucker	26				m	rare
andyharrison88	24				m	rare
Tokominovo	31	UK	-2.21251177788	54.5608863831	m	many
popsgold	-1				n	rare
leipos	-1				n	rare
jonea17	-1				n	rare
ahprahran	-1				n	average
sicsche	-1				n	rare
kakabs	18	BR	-52.9731178284	-10.8104515076	f	average
Bananafish2	22	US	-98.9573364258	39.4432563782	m	average
mariliaamorim	19	BR	-52.9731178284	-10.8104515076	f	rare
frederic_b	-1				n	rare
wuhj9dz	-1				n	rare
lafantastica13	-1				n	rare
aprilchild84	-1				n	rare
kaizerthea	28	NO	14.8999252319	66.7666702271	f	rare
alexbar11	-1				n	average
mkrois	-1				n	rare
axellindeberg	-1	SE	16.7980594635	62.6749725342	m	rare
Major_Leagues	26	RU	103.753982544	63.1251869202	m	rare
AMAraujo57	55	US	-98.9573364258	39.4432563782	m	many
lovelovelylove	-1				f	average
BlakesBully	-1	DE	10.3822031021	51.2024650574	m	rare
kinRAP	30	TR	34.9303398132	39.0510101318	m	rare
theluciferion	27	FI	25.989402771	64.2885818481	m	rare
xp8buddy	47	US	-98.9573364258	39.4432563782	m	rare
Magnumi	31	FI	25.989402771	64.2885818481	m	rare
ale-cabello	-1	ES	-3.55069255829	40.3960266113	m	average
fil_audio	26	TR	34.9303398132	39.0510101318	n	average
AdamOnYourRadar	-1				n	average
srinivassanjeev	-1				n	rare
D1Maestro666	-1				n	rare
blankpages93	-1	US	-98.9573364258	39.4432563782	n	average
Storba	27	FI	25.989402771	64.2885818481	m	many
helenakoala	-1				n	rare
OklahomieSF	-1				n	average
OmegaKnightRed	27	UK	-2.21251177788	54.5608863831	m	rare
xladyxsithx	-1				n	rare
zcristobal	-1				n	rare
derkgates	42	US	-98.9573364258	39.4432563782	m	average
Publius1990	-1				n	rare
ross3656	-1	UK	-2.21251177788	54.5608863831	m	rare
gervino	-1				n	rare
Kalle12	-1				m	average
LarsDamgaard	-1				n	rare
catsinspace	20	AU	134.504119873	-25.5852413177	m	average
hornitos	-1					average
Kleine_Seele	20	RU	103.753982544	63.1251869202	f	average
beatlesfan99	-1				n	rare
Anonimous186	15				f	average
Kaeme	25	CH	8.22285461426	46.8037986755	m	rare
primuniz	25	BR			f	
dickersonka	-1				n	average
eatsnacks	-1				n	rare
DustyCheese	28	UK	-2.21251177788	54.5608863831	m	rare
Rhythmania	-1				n	average
FFer2again	60	DE	10.3822031021	51.2024650574	m	average
vava_alves	22	BR	-52.9731178284	-10.8104515076	m	many
detriment66	-1	SZ	31.4981136322	-26.5651340485	m	average
Walleknock	-1	RU	103.753982544	63.1251869202	n	rare
Voulez-vousABBA	-1	IT	12.4938230515	42.7669792175	n	rare
BallerinoBoreal	19	CA	-95.9133224487	62.8329086304	m	average
Riverman59	-1				n	rare
andreaguinevere	-1				n	rare
CsxNinja	-1				n	rare
Musamyli	-1				n	rare
natsumelon	23	US	-98.9573364258	39.4432563782	f	rare
Lazarev9562007	-1				n	rare
mattmcdm	29	UK	-2.21251177788	54.5608863831	m	rare
xXGoetheXx	21	DE	10.3822031021	51.2024650574	f	average
scrufta	-1	UK	-2.21251177788	54.5608863831	m	rare
metalfrog666	-1				n	rare
pointdotpoint	-1				n	power
lionmama69	41	US	-98.9573364258	39.4432563782	f	rare
Jimburgia012	18	US	-98.9573364258	39.4432563782	m	rare
AnjaCW	-1				n	rare
dokka88	-1				n	rare
iwearyourring	20	US	-98.9573364258	39.4432563782	f	average
charlyliz1	-1				n	rare
AmyLoo1993	-1				n	rare
stukhin	23	RU	103.753982544	63.1251869202	m	rare
Domsloma	-1				n	rare
scotstounboy	-1				n	rare
pamette1	-1				n	rare
malinchen95	-1	DE	10.3822031021	51.2024650574	n	rare
cmanschi	-1				n	average
chinchilacowboy	-1				n	rare
whiteloft	-1	DE	10.3822031021	51.2024650574	f	average
chrupek	26	PL	19.3777599335	52.1478500366	m	average
vpouchet	20	US	-98.9573364258	39.4432563782	m	rare
Unrealcjs	-1				n	average
marlowe_is_dead	0	AQ	21.3463020325	-80.466178894	m	rare
Mashmolow	-1				n	rare
charlottehuman	-1	GB	-2.21251177788	54.5608863831	n	average
Manarcos-Sartan	-1				m	average
LiquidRays	-1	US	-98.9573364258	39.4432563782	m	average
alansimpson71	-1				n	rare
chris_sexxx	26				m	many
OceanSoul121	-1	US	-98.9573364258	39.4432563782	f	average
Morguezi	-1	NO	14.8999252319	66.7666702271	n	power
advinser	30	IT	12.4938230515	42.7669792175	m	average
MemphisLetters	-1				n	many
l_a_costa	-1				n	rare
javencole	-1				n	rare
Griindface	-1				n	rare
gorgeousliidazd	-1				n	rare
Funcrushed	-1				m	average
AbleBluenote	2	DE	10.3822031021	51.2024650574	m	many
Hawkfer	22	MX	-102.633399963	23.9090938568	m	average
amrothinglorion	19	SE	16.7980594635	62.6749725342	m	average
Tuugaalik	21	US	-98.9573364258	39.4432563782	m	average
kalkulator_riot	-1				n	rare
cerp1ntaxt	22	US	-98.9573364258	39.4432563782	m	many
Glaiven312	22	UK	-2.21251177788	54.5608863831	m	rare
nkneeo	-1				n	rare
SourHayes	21	US	-98.9573364258	39.4432563782	m	average
lovemadilyn	-1				n	rare
mydeathwish001	19	US	-98.9573364258	39.4432563782	m	rare
calumi92	-1				m	rare
blaiddmawrdrwg	-1				n	average
Aguile-619	-1				n	rare
hasbender	23	PL	19.3777599335	52.1478500366	n	many
xoxotomemitsu	-1	US	-98.9573364258	39.4432563782	n	many
anee9912	-1				n	average
Sushak3	17	RU	103.753982544	63.1251869202	m	rare
Windulin	-1				n	rare
madgeylou	-1				n	rare
ellecanelle	-1	PL	19.3777599335	52.1478500366	f	average
cvpota	25	US	-98.9573364258	39.4432563782	m	average
joeznyc	-1				n	rare
sevensides	-1				n	rare
KaineStrife	-1				n	rare
madcaddie86	26	DE	10.3822031021	51.2024650574	m	average
WAHssy	-1				n	rare
ajaxthelesser	19				m	average
angel_3	24	UA	31.4757823944	48.9265632629	f	power
revo1theghost	-1				n	rare
mikesnowden	-1				n	rare
dekros	-1				n	rare
Smarc23	-1				n	average
johnzilla980	-1				n	rare
Cheetha111	-1				n	rare
beto85	27	ES	-3.55069255829	40.3960266113	m	average
electronicdings	-1	CH	8.22285461426	46.8037986755	m	average
kristofferramos	-1				n	rare
Ye_Drunk_Foetus	23	NL	5.52815723419	52.3422584534	m	average
jez777	32	CA	-95.9133224487	62.8329086304	m	average
Gutenius	-1				n	rare
mherreroa	57	ES	-3.55069255829	40.3960266113	m	rare
Linafjaestad	17	NO	14.8999252319	66.7666702271	f	average
deathanddecay	22	US	-98.9573364258	39.4432563782	m	rare
wordke	33	CH	8.22285461426	46.8037986755	m	average
leohestia	-1	BR	-52.9731178284	-10.8104515076	m	average
marton78	34	HU	19.4165744781	47.1657333374	m	average
Gardiusbk	-1				n	rare
xSarhan	21	RU	103.753982544	63.1251869202	m	average
burvis28	-1				n	rare
jdewi1	49	US	-98.9573364258	39.4432563782	n	rare
Wataboon	18	SE	16.7980594635	62.6749725342	m	average
XJRodzx	-1				n	rare
p_talamo	-1				n	rare
Squezzle	-1	RU	103.753982544	63.1251869202	m	rare
kimmp8	-1				n	rare
LucasARM	-1				n	rare
cL3m1ss1m0	23	DE	10.3822031021	51.2024650574	m	many
endlessimpulse	-1				n	rare
pauricoma	54	ES	-3.55069255829	40.3960266113	m	average
Rascal_92	-1	UK	-2.21251177788	54.5608863831	m	average
gelorugby	-1				n	rare
hgferreira	18	BR	-52.9731178284	-10.8104515076	m	rare
martinvonroidig	-1	DE	10.3822031021	51.2024650574	n	average
shortysnet	30	MX	-102.633399963	23.9090938568	m	average
Unetar	26	RU	103.753982544	63.1251869202	f	power
banderson101	-1				n	average
sofianbenhalima	-1				n	rare
Deftones8205	-1				n	rare
magdalene17	21	PL	19.3777599335	52.1478500366	f	average
Matt_Neurofunk	21	RU	103.753982544	63.1251869202	f	average
AnaRitaCosta	20	PT	-8.00942230225	39.6420097351	f	average
ladywholingers	-1	ES	-3.55069255829	40.3960266113	f	rare
EdwinTintoe	-1	CZ	15.3315010071	49.7391052246	m	rare
hrisss17	21	PL	19.3777599335	52.1478500366	m	rare
Korny68	44	BE	4.64150238037	50.6489639282	n	rare
phoduyadmin	-1				n	rare
NickyChulo	21	US	-98.9573364258	39.4432563782	m	many
Hankok_star	-1	RU	103.753982544	63.1251869202	m	many
PennyBridge11	-1				n	many
scorpionic33	42	US	-98.9573364258	39.4432563782	m	power
TRex95	-1	DE	10.3822031021	51.2024650574	n	rare
Pennycounter	-1				n	rare
JuliaChangBFF	-1				n	rare
19Larssen94	-1				n	rare
hap1225	-1				n	rare
jaseace70	-1				n	rare
dtamaroff	-1				n	rare
lavainn	-1				n	rare
boldiebm	38	HU	19.4165744781	47.1657333374	m	rare
hopeinhellmel	-1	AU	134.504119873	-25.5852413177	f	rare
juancmato	-1	ES	-3.55069255829	40.3960266113	n	average
leichtigkeit_	-1				n	rare
Jonnei	19	FI	25.989402771	64.2885818481	m	average
lachtos	17	LT	23.870923996	55.3387184143	m	many
XieKun	-1				n	rare
afrazkin	-1				n	rare
labrumdelm	21	IT	12.4938230515	42.7669792175	f	average
brnorman	-1				n	rare
bongweezel420	-1				n	rare
TJKinsey1992	-1				n	rare
wblumju	-1				n	rare
L00s3r	24	FI	25.989402771	64.2885818481	m	average
Manuelos	27	BE	4.64150238037	50.6489639282	m	average
Elay_Oldboy	-1	RU	103.753982544	63.1251869202	m	rare
noconico	-1				n	rare
mastudama	29	US	-98.9573364258	39.4432563782	m	rare
hp3003	37	UK	-2.21251177788	54.5608863831	m	average
doctorevil94	18	US	-98.9573364258	39.4432563782	m	average
simonhardcastle	-1				n	rare
christellyn	-1	LV	24.8402442932	56.8687324524	f	power
chayagman	-1				n	average
kathie_17	18	PL	19.3777599335	52.1478500366	f	average
crschnei	-1				n	rare
glmox	17	US	-98.9573364258	39.4432563782	m	average
Woodrocker	-1	AT	14.1402111053	47.5884399414	m	many
LadSamael	27	PL	19.3777599335	52.1478500366	m	average
ZadeBade	-1				n	rare
Valter_t	-1				n	rare
SvenAkk	-1				n	rare
jbeasley7	-1				n	average
dduijkers	-1				n	rare
RiverPink	-1				n	rare
VAn9O	24	RU	103.753982544	63.1251869202	m	rare
Wilber_force	-1	UK	-2.21251177788	54.5608863831	m	average
Aikoen	19	PL	19.3777599335	52.1478500366	f	average
famisamis	52	US	-98.9573364258	39.4432563782	m	rare
Fun_k	27	PL	19.3777599335	52.1478500366	m	average
MiraShinku	18	PH	122.509475708	11.1126661301	f	average
CyberProX	-1	AT	14.1402111053	47.5884399414	n	rare
batheinbleach	-1				m	average
kandinsky1905	-1				n	rare
mikylovato	17	CL	-71.6746749878	-35.7862281799	f	average
Providence_91	20	RU	103.753982544	63.1251869202	f	many
thediagram	-1				n	average
MakersHand	-1				n	rare
BCKMTWKILLAHS	-1				n	rare
AlienGoo	-1				n	rare
DrSherria	-1				n	rare
AlexCsee	-1				n	rare
orzogrizzly-gio	-1				n	average
Snappikz	-1				n	rare
syd-knee	-1				n	rare
armygoat05	-1				n	rare
Tyrax	30	US	-98.9573364258	39.4432563782	m	average
Mr_Damage	46	AU	134.504119873	-25.5852413177	m	average
Slayerz007	-1	RU	103.753982544	63.1251869202	m	average
pathwalker1991	20	US	-98.9573364258	39.4432563782	m	rare
Diiki	16	FI	25.989402771	64.2885818481	f	rare
Fatalny	21	PL	19.3777599335	52.1478500366	m	many
snorlin	-1	SE	16.7980594635	62.6749725342	f	rare
Flo1411	-1				n	average
Rein9	-1				n	rare
AdeleDeLarge	21	IT	12.4938230515	42.7669792175	f	average
drunkeverywhere	26	US	-98.9573364258	39.4432563782	m	rare
TestbeeldDesign	-1				n	rare
issamsader	-1				n	rare
kuhll	22	BR	-52.9731178284	-10.8104515076	m	average
isaacberzins	-1				n	average
Panek	-1	PL	19.3777599335	52.1478500366	m	many
mesec	-1	RU	103.753982544	63.1251869202	m	average
parky4england	-1	UK	-2.21251177788	54.5608863831	m	average
jeroencoumans	32	UK	-2.21251177788	54.5608863831	m	many
gamehed	-1				n	rare
TheGreatHoudini	24	US	-98.9573364258	39.4432563782	m	average
dieb42	-1				n	rare
daveburnside	-1				n	rare
carmesine	-1				f	rare
Quessain	25	NL			n	
Vazde	-1	FI	25.989402771	64.2885818481	m	many
IAMXkiss	24	SK	19.4848899841	48.707485199	f	rare
Lucas_BGK	19	BR	-52.9731178284	-10.8104515076	m	average
frederichk	-1				n	rare
SebBjerre	-1				n	rare
Stedy	25	BY	28.0540943146	53.54347229	m	many
hakanssong	-1				n	rare
humpadumpa38	-1				n	rare
emilythurston	-1				n	rare
t90t	21	PL	19.3777599335	52.1478500366	m	average
broderick78	33	BR	-52.9731178284	-10.8104515076	m	many
paulandapryl	-1				n	rare
LostSimbelmyne	-1				n	average
NetoHenrique	23	BR	-52.9731178284	-10.8104515076	m	average
Veil_of_Truth	23	NO	14.8999252319	66.7666702271	m	average
WTmax	22	SE	16.7980594635	62.6749725342	m	rare
TheNordicKing	21	PL	19.3777599335	52.1478500366	m	many
mrjamesbarber	-1	US	-98.9573364258	39.4432563782	m	rare
gabyfernandes	18	BR	-52.9731178284	-10.8104515076	n	average
Arjen83	29	NL	5.52815723419	52.3422584534	m	average
axe72bcn	40	ES	-3.55069255829	40.3960266113	m	average
bgutmeir	21	US	-98.9573364258	39.4432563782	m	power
christinagarza	24	AU	134.504119873	-25.5852413177	n	average
Macid123d4	-1				n	rare
Stackedactor	25	BE	4.64150238037	50.6489639282	m	average
br_Patefon	-1				n	average
DADDYOFSEVEN	-1				n	rare
solurd	-1				n	rare
Brenequite	-1	DE	10.3822031021	51.2024650574	n	average
marinalexk	22	US	-98.9573364258	39.4432563782	f	rare
E1keG	17	DE	10.3822031021	51.2024650574	m	rare
son_mischa	-1				n	rare
hundley91	-1				n	rare
Jopasil	-1				n	rare
Aska_Queen	23	UA	31.4757823944	48.9265632629	f	average
AkiraYuki	22	DE	10.3822031021	51.2024650574	m	many
marclar123	-1				n	rare
WojtekZylski	19	PL	19.3777599335	52.1478500366	m	average
Sau389	20	RU	103.753982544	63.1251869202	m	rare
Brummel23	60	DE	10.3822031021	51.2024650574	m	rare
att_g	-1				n	rare
olehzahor	18	UA	31.4757823944	48.9265632629	m	rare
Angel-81	31	NO	14.8999252319	66.7666702271	f	many
km0004	-1				n	rare
vf_77	-1				n	rare
guubotti	-1				n	rare
BobTheMetalFish	24				m	average
Julijac	-1	SE	16.7980594635	62.6749725342	n	average
cigamaya	24	TR	34.9303398132	39.0510101318	m	average
deepliferecords	35	US	-98.9573364258	39.4432563782	m	rare
d7alt	-1				n	rare
ces9112	-1				n	rare
MBandoch	19	BR	-52.9731178284	-10.8104515076	m	many
dustrider	-1				n	rare
lgso7	-1				n	rare
clubman7969	-1				n	average
AloneInTheCity	-1	PL	19.3777599335	52.1478500366	f	average
Wahyudwi	-1	ID	115.418998718	-1.24808907509	m	average
Rudolf786	16	PL	19.3777599335	52.1478500366	f	average
olho	-1	UK	-2.21251177788	54.5608863831	m	rare
lesandraleal	-1				n	rare
nellenah	-1				n	average
aaronheaps95	-1				n	rare
Mackie_fresh	19	DE	10.3822031021	51.2024650574	n	average
mattrik3	-1				n	rare
weavvvers	-1				n	rare
Puzzo2012	-1	RU	103.753982544	63.1251869202	m	rare
msagraves	-1				n	rare
mrgravey94	17	UK	-2.21251177788	54.5608863831	m	average
MarkWhyy	-1				n	average
Mourners_CZ	26	CZ	15.3315010071	49.7391052246	m	average
Mr_Terrance	19	BY	28.0540943146	53.54347229	m	many
jsnbrn	19	RU	103.753982544	63.1251869202	m	power
Navasip	19	UA	31.4757823944	48.9265632629	m	rare
_Slw	28	FI	25.989402771	64.2885818481	m	rare
jubinhahc	27	BR	-52.9731178284	-10.8104515076	f	average
DJSCURVY2012	-1				n	rare
shlaker	-1				n	power
vronimoni	-1				n	rare
katercasimir	-1				n	rare
s8r	24	BY	28.0540943146	53.54347229	m	power
jollyjol	-1	LT	23.870923996	55.3387184143	f	rare
muffflon	-1	CH	8.22285461426	46.8037986755	m	many
thebeben	-1				n	rare
kyliesaysparty	27	DE	10.3822031021	51.2024650574	m	power
nixxiefa	-1	IE	-8.19610214233	53.1827278137	f	rare
silvernife	-1				n	rare
divinechaos78	-1				n	rare
